%
%  no - oznaczenie gwiazdy
%  V - jasno"s"c w filtrze V
%  I - jasno"s"c w filtrze I
%  err_V - b"l"ad jasno"sci V
%  N_V - ilo"s"c obserwacji w filtrze V
%  N_I - ilo"s"c obserwacji w filtrze I
%  x - wsp"o"lrz"edna x na obrazie CCD (po"lno"c to -x) 
%  y - wsp"o"lrz"edna y na obrazie CCD (wsch"od to +y)
%
%  no    V       I    err_V   N_V N_I     x       y 
%       mag     mag    mag               
%
    1 11.3257  8.3164 0.0018 1928 660  927.18 1133.38 
    2 11.8339  9.6335 0.0006 1665 655  467.61   27.54 
    3 10.3997  9.7725 0.0006 1885 666 1070.25 1053.45 
    4 13.5872  9.8024 0.0016 1788 674 1027.92   32.82 
    5 13.4065 10.1585 0.0007 1900 674  990.62  634.97 
    6 10.7662 10.0236 0.0035  371  99   -1.11 1111.84 
    7 12.5125 10.2604 0.0008 1171 444    9.60  405.97 
    8 12.7329 10.3662 0.0007 1867 672  506.85 1219.40 
    9 13.1199 10.3802 0.0004 1899 696  614.90  443.89 
   10 13.1665 10.5034 0.0004 1900 658  477.56  406.12 
   11 16.1998 10.5590 0.0022 1883 705  753.63  956.80 
   12 13.1908 10.7140 0.0006 1857 680  160.98  138.63 
   13 13.6791 10.7573 0.0004 1902 689  828.49  690.26 
   14 13.4482 10.8156 0.0005 1868 673 1090.19  727.16 
   15 13.4291 10.8095 0.0005 1854 678  755.47  115.40 
   16 12.9081 10.8310 0.0009 1094 355  840.19   13.29 
   17 11.5973 10.9703 0.0004 1873 679  505.93  421.11 
   18 13.7044 10.9128 0.0012  984 391    7.64  925.02 
   19 14.7214 11.4617 0.0008 1906 673  196.40  477.30 
   20 12.3483 11.5778 0.0004 1886 681  532.40  261.11 
   21 16.8403 11.5760 0.0066 1861 704  746.41  229.10 
   22 13.6854 11.7918 0.0005 1738 638  798.11  873.42 
   23 13.5969 11.8684 0.0004 1881 687  646.49  202.64 
   24 13.8182 11.9305 0.0005 1872 676 1090.49  950.59 
   25 13.7967 11.9435 0.0005 1882 684  205.52  876.18 
   26 14.9318 12.0031 0.0009 1910 690 1024.94  726.46 
   27 12.8693 12.0440 0.0010 1836 663  209.02 1237.79 
   28 13.6437 12.0676 0.0005 1899 691  492.16 1087.34 
   29 15.7589 12.0123 0.0025 1583 701  983.93 1023.41 
   30 12.8881 12.1096 0.0006 1884 682 1027.39 1115.59 
   31 14.5307 12.1454 0.0004 1789 679  678.69  332.77 
   32 14.3214 12.1038 0.0007 1345 520 1153.49  873.71 
   33 13.9920 12.2469 0.0004 1869 670  504.72  562.06 
   34 14.3275 12.2557 0.0009 1855 666 1117.27  199.65 
   35 13.2536 12.2753 0.0006 1898 692  574.13 1151.37 
   36 13.1972 12.3114 0.0004 1889 678  915.72  562.29 
   37 13.1775 12.3413 0.0006 1827 676  757.32   46.25 
   38 13.7320 12.3230 0.0006 1891 683  864.30 1136.10 
   39 14.5289 12.3495 0.0008 1290 480  499.12   17.92 
   40 13.3274 12.4317 0.0005 1769 654  823.72  866.91 
   41 14.3642 12.4138 0.0006 1876 686  549.00 1196.96 
   42 14.2763 12.4646 0.0005 1855 680  747.90   95.61 
   43 14.7428 12.4849 0.0004 1877 688  629.05  666.30 
   44 15.3251 12.4783 0.0008 1858 679  202.55 1033.14 
   45 13.7201 12.5155 0.0010 1708 646  148.04 1017.70 
   46 14.7261 12.5162 0.0003 1871 689  475.13  305.38 
   47 15.0009 12.5486 0.0005 1883 686  443.43  427.22 
   48 13.5698 12.6295 0.0006 1861 681   83.91  226.82 
