%
%  ID - nazwa gromady
%  GLON - d"lugo"s"c galaktyczna
%  GLAT - szeroko"s"c galaktyczna
%  R_sun - odleg"lo"s"c od S"lo"nca
%  V_t - jasno"s"c ca"lkowita w V
%  [Fe/H] - metaliczno"s"c
%
%  No   ID          GLON    GLAT   R_sun   V_t  [Fe/H]
%                    deg     deg    kpc    mag    
%
    1  NGC 104    305.90  -44.89    4.3   3.95  -0.76
    2  NGC 288    152.28  -89.38    8.1   8.09  -1.24
    3  NGC 362    301.53  -46.25    8.3   6.40  -1.16
    4  NGC 1261   270.54  -52.13   16.0   8.29  -1.35
    5  Pal 1      130.07   19.03    9.7  13.52  -0.80
    6  AM 1       258.36  -48.47  119.1  15.72  -1.80
    7  Eridanus   218.11  -41.33   80.8  14.70  -1.46
    8  Pal 2      170.53   -9.07   26.9  13.04  -1.30
    9  NGC 1851   244.51  -35.04   12.2   7.14  -1.26
   10  NGC 1904   227.23  -29.35   12.6   7.73  -1.54
   11  NGC 2298   245.63  -16.01   10.6   9.29  -1.85
   12  NGC 2419   180.37   25.24   82.3  10.39  -2.12
   13  Pyxis      261.32    7.00   38.5  12.90  -1.20
   14  NGC 2808   282.19  -11.25    9.3   6.20  -1.37
   15  E 3        292.27  -19.02    4.2  11.35  -0.80
   16  Pal 3      240.14   41.86   89.4  14.26  -1.66
   17  NGC 3201   277.23    8.64    5.1   6.75  -1.48
   18  Pal 4      202.31   71.80   99.6  14.20  -1.48
   19  NGC 4147   252.85   77.19   18.8  10.32  -1.83
   20  NGC 4372   300.99   -9.88    4.9   7.24  -2.09
   21  Rup 106    300.89   11.67   20.6  10.90  -1.80
   22  NGC 4590   299.63   36.05   10.1   7.84  -2.06
   23  NGC 4833   303.61   -8.01    5.9   6.91  -1.79
   24  NGC 5024   332.96   79.76   18.4   7.61  -2.07
   25  NGC 5053   335.69   78.94   16.2   9.47  -2.29
   26  NGC 5139   309.10   14.97    5.1   3.68  -1.62
   27  NGC 5272    42.21   78.71   10.0   6.19  -1.57
   28  NGC 5286   311.61   10.57   10.7   7.34  -1.67
   29  AM 4       320.15   33.54   29.2  15.90  -2.00
   30  NGC 5466    42.15   73.59   16.6   9.04  -2.22
   31  NGC 5634   342.21   49.26   25.3   9.47  -1.82
   32  NGC 5694   331.06   30.36   33.9  10.17  -1.86
   33  IC 4499    307.35  -20.47   18.4   9.76  -1.60
   34  NGC 5824   332.55   22.07   31.3   9.09  -1.85
   35  Pal 5        0.85   45.86   22.6  11.75  -1.38
   36  NGC 5897   342.95   30.29   12.7   8.53  -1.80
   37  NGC 5904     3.86   46.80    7.3   5.65  -1.29
   38  NGC 5927   326.60    4.86    7.4   8.01  -0.37
   39  NGC 5946   327.58    4.19   12.3   9.61  -1.38
   40  BH 176     328.41    4.34   15.2  14.00   --    
   41  NGC 5986   337.02   13.27   10.3   7.52  -1.67
   42  Lynga 7    328.77   -2.79    7.0   --    -0.62
   43  Pal 14      28.75   42.18   72.2  14.74  -1.52
   44  NGC 6093   352.67   19.46    8.7   7.33  -1.62
   45  NGC 6121   350.97   15.97    2.2   5.63  -1.20
   46  NGC 6101   317.75  -15.82   15.1   9.16  -1.82
   47  NGC 6144   351.93   15.70   10.1   9.01  -1.73
   48  NGC 6139   342.37    6.94   10.5   8.99  -1.65
   49  Terzan 3   345.08    9.19   26.4  12.00   --    
   50  NGC 6171     3.37   23.01    6.3   7.93  -1.04
   51  1636-283   351.91   12.10    7.6  12.00   --    
   52  NGC 6205    59.01   40.91    7.0   5.78  -1.54
   53  NGC 6229    73.64   40.31   29.3   9.39  -1.44
   54  NGC 6218    15.72   26.31    4.7   6.70  -1.48
   55  NGC 6235   358.92   13.52    9.7   9.97  -1.40
   56  NGC 6254    15.14   23.08    4.3   6.60  -1.52
