%
%   l       b      V       Sp
%  deg     deg    mag
%
  114.44 -16.88   6.70    A1Vn              
   98.33 -61.14   6.29   gG9                
   93.75 -65.93   4.61    K0IIIbCN-0.5      
  106.19 -47.98   5.51    G5III             
  117.03  -3.92   5.96    G5V               
  321.61 -66.38   5.70    G1IV              
  118.06   1.75   5.59    B9III             
  111.26 -32.83   6.13    K0V               
   52.21 -79.14   6.18    A7V               
   74.36 -75.90   6.19    A6Vn              
   98.02 -63.29   6.43    B8IIIpSi          
   55.56 -79.07   5.94    A2Vp:             
  355.91 -78.67   5.68    K1III             
   98.34 -63.24   6.07    K2III+F           
  111.73 -32.84   2.06    B8IVpMnHg         
   91.79 -69.04   5.99   gG8                
  113.45 -25.45   6.19    F8IV              
   74.69 -76.25   6.06    M0III             
  110.97 -36.42   6.23    K0III             
  120.98  17.00   6.01    A7IV              
  117.52  -3.27   2.27    F2III-IV          
  108.99 -43.51   5.53    G9III             
  316.25 -62.02   6.33    G4IV              
   25.24 -80.63   5.42    F2V               
  324.34 -69.60   3.88    K0III             
  106.87 -50.43   5.51    B9Vn              
  115.52 -16.21   5.03    F2II              
  117.38  -5.26   6.74    B7IV              
   96.99 -66.03   5.84    K1III             
  304.63 -34.77   5.28    G8III             
   87.69 -72.60   5.85    K0IV              
  306.98 -43.58   6.64    F2V+F6V           
   82.24 -75.06   4.89    F7V               
   26.30 -81.13   5.41    K5III             
  347.16 -78.34   5.25    F4V               
  116.16 -14.20   6.16   gK4                
   76.32 -77.10   5.25    K5III             
  114.55 -24.55   6.73    B2V               
  109.43 -46.68   2.83    B2IV              
  112.56 -35.12   6.30    G0III             
  115.27 -21.27   5.72    F0IV              
   38.28 -81.49   5.94    K5III             
   36.52 -81.54   6.31    K5III             
  113.99 -29.02   6.25    A1V               
  111.30 -41.83   4.80    M2+III            
   96.87 -68.76   5.12    M3+III            
  303.91 -32.06   5.77    M0-1III           
   75.11 -78.23   4.44    M3III             
  111.92 -39.81   6.24    A1pSi             
  107.86 -52.98   5.79    F0IV              
   95.06 -70.44   5.75    B9V               
  113.93 -30.70   6.45    K5                
  113.10 -34.90   6.35    A1Vn              
  345.80 -78.99   6.17    K3III             
  120.89  14.22   6.35    B8Vnn             
  116.23 -18.82   6.15    A2VpSi            
    1.53 -81.18   5.67    K5III             
  305.79 -41.02   6.49    G8-K0III          
  108.28 -53.64   6.11    G8II-III          
  118.83  -1.06   5.74    G8III             
   72.13 -79.47   6.47    B8III             
  117.01 -14.53   5.89    B7III             
  115.62 -23.70   4.61    A2V               
  305.07 -38.20   6.77    F3III             
  117.59 -11.09   6.14    O9IIInn           
   77.21 -78.78   6.45    F4IV-V            
  105.89 -60.07   6.17    K0II              
  115.59 -25.61   4.52    A2V               
  110.00 -50.83   6.05    K0III             
  116.70 -18.68   6.11    B8V               
  114.79 -30.84   5.87    A0IV              
   99.29 -69.40   6.46    G0V               
  323.20 -72.58   6.33    K2III             
   98.98 -70.19   3.56    K1.5III           
  116.46 -21.74   6.33    K1III             
  117.63 -13.68   6.52    A0V s             
  308.35 -51.90   4.23    F9V               
  115.13 -31.47   5.90    B7V               
  115.53 -29.52   5.79    K5III             
  109.91 -53.90   5.37   gK3                
  110.93 -51.18   6.56    A0V               
  116.37 -24.52   5.18    F5III             
  306.87 -47.27   5.51    B9V               
   15.52 -83.15   5.18    G5III             
   77.51 -80.20   5.12    M5IIe             
  112.19 -48.78   6.23    K3III             
  305.04 -39.58   5.97    K3III             
   97.34 -73.64   6.39    G2V               
  358.89 -82.70   6.55    B9IVMn            
  117.07 -23.98   7.39    S6.5IIIeZr6Ti2    
  118.68 -10.63   5.57    B5IV              
  119.79  -0.88   5.40    B9III             
  107.27 -64.27   6.07    K1III             
  118.92  -9.62   5.74    B9IV              
  109.73 -60.26   5.77    G5III             
  304.81 -39.77   2.80    G2IV              
  320.02 -73.98   2.39    K0III             
  318.42 -72.68   3.94    A7V               
  109.50 -62.27   6.19    G8III             
   47.84 -84.35   5.98    G8III             
  115.10 -44.62   5.06    M3III             
  118.57 -18.28   5.17    A2V s             
  342.36 -82.23   4.81    M4III             
  114.89 -46.06   6.06    K5III             
  113.62 -52.26   6.04    F6Va vw           
   83.87 -81.40   6.43    G0V               
  321.94 -76.35   5.43    M0III             
  117.94 -25.75   6.26    G5III             
  311.91 -66.20   6.26    K0III             
  121.74  14.20   6.21    K0IV              
  120.29  -2.79   5.94    B9IIIn            
  117.42 -32.89   5.23    A7III             
   99.58 -76.75   6.14    F2III             
  344.92 -83.15   6.57    K4III             
  109.57 -66.27   5.72    M0III             
   66.87 -84.19   5.19    A5Vn              
  318.97 -75.53   6.19    F2III             
  312.52 -68.52   5.69    F2V               
  120.94   3.73   6.18    B6V               
  118.16 -29.10   5.87    K1III             
  120.05  -8.24   4.73    B8Vn              
  119.91  -9.92   5.60    K2III             
  311.75 -67.98   4.77    A0V               
  306.78 -54.02   4.37    B9V               
  306.78 -54.01   4.54    A2V+A7V           
  119.29 -19.24   6.70    A1Vn              
  121.44   8.16   6.42    A0Vn              
  120.84   0.14   4.16    B1Ia              
  116.94 -42.36   5.38    K0III             
  114.55 -55.61   5.67    B9.5V             
  117.82 -35.10   6.67    A2IV              
  117.96 -34.41   6.30    K0III             
  120.28  -7.88   5.93    K0III             
  306.54 -53.97   5.09    A0V               
  121.25   3.93   6.48    B9III             
    0.01 -85.40   5.55    K2III             
  305.01 -45.79   6.13    A7IV              
  308.97 -64.55   5.57    F3IV-V            
  116.77 -49.30   6.40    K0                
  112.89 -66.15   5.20    F8V               
  114.12 -63.10   5.93    F5IV              
  120.67  -8.64   5.08    B7III             
  117.11 -49.49   6.41    F7V               
  121.08  -2.49   5.79    A4III             
  310.27 -68.90   5.51    F6V               
  307.83 -62.16   6.06    K0IV              
